company_name,experience_required,job_description,job_title,keyskills,link_job_description,location,posted_by,salary
Miracle Corporate Solutions Pvt. Ltd.,2-7 yrs,N/A,Job | Urgent Requirement - Sr. Data Scientist/data Analyst,"data structures, algorithms, senior data scientist, data analyst...",https://www.naukri.com/job-listings-Urgent-Requirement-Sr-Data-Scientist-data-Analyst-Miracle-Corporate-Solutions-Pvt-Ltd-Delhi-NCR-Noida-2-to-7-years-041018002708?src=jobsearchDesk&sid=15389014482083&xp=13&px=1,"Delhi NCR, Noida",  Anamika Singh  ,"    3,00,000 - 8,00,000 P.A.  "
HCL Technologies Limited,4-8 yrs,Job Description  To be responsible for managing technology in projects and providing technical ...,Senior Data Analyst,"Process Compliance, Data Analysis, Product Engineering, Data Analyst, RDBMS...",https://www.naukri.com/job-listings-Senior-Data-Analyst-HCL-Technologies-Limited-Noida-4-to-8-years-011018900089?src=jobsearchDesk&sid=15389014482083&xp=14&px=1,Noida,  HR  ,  Not disclosed 
Cvent India Pvt. Ltd.,3-6 yrs,Strong experience on providing predictive modelling solutions to clients;Good understanding of ...,Analyst / Sr. Analyst (data Science),"predictive modeling, predictive analytics, machine learning, data science...",https://www.naukri.com/job-listings-Analyst-Sr-Analyst-data-Science-Cvent-India-Pvt-Ltd-Gurgaon-3-to-6-years-280818003404?src=jobsearchDesk&sid=15389014482083&xp=15&px=1,Gurgaon,  Nitish Anand  ,  Not disclosed 
Mindpool Technologies Private Limited,3-7 yrs,N/A,Data Analyst - Gurgaon/mumbai - Permanent,"Data Analysis, Data Mining, Database Design, Statistics, Design Development",https://www.naukri.com/job-listings-Data-Analyst-Gurgaon-mumbai-Permanent-Mindpool-Technologies-Private-Limited-Gurgaon-Mumbai-Suburbs-3-to-7-years-041018005088?src=jobsearchDesk&sid=15389014482083&xp=16&px=1,"Gurgaon, Mumbai Suburbs",  Karthika Anbalagan  ,  Not disclosed 
Easy Careersolutions,5-10 yrs,N/A,Data Analyst,"transportation, logistics, market research, sales, data analysis...",https://www.naukri.com/job-listings-Data-Analyst-Easy-Careersolutions-Delhi-NCR-5-to-10-years-041018009635?src=jobsearchDesk&sid=15389014482083&xp=17&px=1,Delhi NCR,  Neetu  ,"    5,00,000 - 15,00,000 P.A. Best in Industry  "
HCL Technologies,1-3 yrs,Should be able to work with large amounts of data and analyse it to find relevant insights;Communication ...,Data Analyst,"Powerpoint, Word, Written Communication, Excel, MS Office...",https://www.naukri.com/job-listings-Data-Analyst-HCL-Technologies-Bengaluru-Jigani-Chennai-Sholinganallur-Noida-Sector-126-Noida-1-to-3-years-041018003208?src=jobsearchDesk&sid=15389014482083&xp=18&px=1,"Bengaluru(Jigani), Chennai(Sholinganallur), Noida(Sector-126 Noida)",  Anamika Bhowmick  ,"    1,00,000 - 2,50,000 P.A.  "
EASY DATA ANALYTICS TECHNOLOGY PRIVATE LIMITED,1-4 yrs,Description: 1-4 year experience Building Qlikview/Tableau/Power BI/BIRT Visualization and Analysis with ...,Data Analyst 1-4 Years Noida/singapore,"jquery, java, birt, tableau, qlikview, power bi, Python, SQL, R",https://www.naukri.com/job-listings-Data-Analyst-1-4-Years-Noida-singapore-EASY-DATA-ANALYTICS-TECHNOLOGY-PRIVATE-LIMITED-Noida-Singapore-1-to-4-years-021018000323?src=jobsearchDesk&sid=15389014482083&xp=19&px=1,"Noida, Singapore",  Amit Jain  ,  Not disclosed 
TransOrg Analytics,1-4 yrs,- Experience developing workbooks from multiple data sources using data blending;- Experience in ...,Data Analyst,"Data Analyst, Analytics, Data Analytics, Data Management...",https://www.naukri.com/job-listings-Data-Analyst-TransOrg-Analytics-Mumbai-Gurgaon-1-to-4-years-110918900946?src=jobsearchDesk&sid=15389014482083&xp=20&px=1,"Mumbai, Gurgaon",  Swati Verma  ,  Not disclosed 
TransOrg Analytics,1-4 yrs,- Experience developing workbooks from multiple data sources using data blending;- Experience in ...,Data Analyst,"Predictive Analytics, Data Analysis, Data Mining, Statistical Modeling, R...",https://www.naukri.com/job-listings-Data-Analyst-TransOrg-Analytics-Mumbai-Gurgaon-1-to-4-years-240918900014?src=jobsearchDesk&sid=15389014482083&xp=21&px=1,"Mumbai, Gurgaon",  Swati Verma  ,  Not disclosed 
Etail Consultants Private Limited,2-5 yrs,"Information will be used to project, monitor and strategize sales efforts, and to maintain and support ...",Business Data Analyst,"Advanced Excel, Data Analysis, Data Analytics, Data Management, Statistical...",https://www.naukri.com/job-listings-Business-Data-Analyst-Etail-Consultants-Private-Limited-Gurgaon-2-to-5-years-070918008831?src=jobsearchDesk&sid=15389014482083&xp=22&px=1,Gurgaon,  HR Manager  ,"    3,00,000 - 5,00,000 P.A.  "
